City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Te Anau,NZ,-45.4167,167.7167,36.0,95,89,0.56,overcast clouds
196,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.68,82,4,8.57,clear sky
197,Slavonice,CZ,48.9975,15.3515,65.62,74,73,6.49,light rain
198,Tuatapere,NZ,-46.1333,167.6833,41.99,90,100,5.19,light rain
199,Bougouni,ML,11.417,-7.479,75.65,85,98,4.65,light rain
200,Guerrero Negro,MX,27.9769,-114.0611,75.07,59,4,17.36,clear sky
201,Iskateley,RU,67.6803,53.1512,68.4,74,86,6.26,overcast clouds
202,Bethel,US,41.3712,-73.414,85.77,56,20,10.36,few clouds
203,Georgetown,MY,5.4112,100.3354,79.9,92,20,2.3,few clouds
204,Masuguru,TZ,-11.3667,38.4167,66.65,63,32,3.22,scattered clouds
205,Acajutla,SV,13.5928,-89.8275,84.38,69,89,8.08,overcast clouds
206,Ryotsu,JP,38.0833,138.4333,73.42,91,99,6.33,light rain
207,Oyama,JP,36.3,139.8,77.59,95,99,3.65,overcast clouds
208,Vao,NC,-22.6667,167.4833,71.08,55,30,22.55,scattered clouds
209,Flinders,AU,-34.5833,150.8552,45.18,80,0,3.0,clear sky
210,Epe,NG,6.5841,3.9834,74.86,90,100,5.23,overcast clouds
211,Mogadishu,SO,2.0371,45.3438,76.77,83,30,15.5,light rain
212,Xining,CN,36.6167,101.7667,61.0,93,100,1.19,overcast clouds
213,Nouadhibou,MR,20.931,-17.0347,69.78,88,25,14.97,scattered clouds
214,Angoche,MZ,-16.2325,39.9086,73.13,64,28,8.63,scattered clouds
215,Kodinsk,RU,58.6881,99.1844,50.29,76,85,2.1,overcast clouds
216,Mitu,CO,1.1983,-70.1733,76.17,94,84,2.13,broken clouds
217,Krasne,UA,49.9145,24.6134,63.61,89,97,2.48,overcast clouds
218,Araouane,ML,18.9048,-3.5265,99.28,19,34,9.04,scattered clouds
219,Kvitok,RU,56.0724,98.4813,49.12,88,100,1.63,overcast clouds
220,Victoria,HK,22.2855,114.1577,85.32,84,75,5.01,broken clouds
