City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Ushibuka,JP,80.82,overcast clouds,32.1906,130.0228,Hotei
174,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
175,Berlevag,NO,57.0,light rain,70.8578,29.0864,Kvitbrakka
176,Lompoc,US,90.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
177,Garowe,SO,79.3,overcast clouds,8.4054,48.4845,Curubo Hotel
178,Sao Filipe,CV,75.07,clear sky,14.8961,-24.4956,Hotel Xaguate
179,Muzhi,RU,61.56,scattered clouds,65.3667,64.6667,Gostinitsa
180,Esperance,AU,57.79,few clouds,-33.8667,121.9,Hospitality Esperance
182,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
183,Cidreira,BR,60.89,moderate rain,-30.1811,-50.2056,Hotel Castelo
184,Narsaq,GL,61.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
185,Nicoya,CR,79.99,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
186,Orhei,MD,67.78,scattered clouds,47.3831,28.8231,Chateau Vartely
187,Mokolo,CM,73.31,scattered clouds,10.7398,13.8019,Diwa Hôtel
188,Dickinson,US,93.13,thunderstorm,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
189,Kirakira,SB,81.43,scattered clouds,-10.4544,161.9205,SanBiz Lodge
190,Nikolskoye,RU,58.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
191,East London,ZA,59.38,clear sky,-33.0153,27.9116,Tu Casa
192,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
193,Sisimiut,GL,50.94,clear sky,66.9395,-53.6735,Hotel Sisimiut
194,Belmonte,BR,72.91,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
195,Te Anau,NZ,36.0,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
196,Sao Jose Da Coroa Grande,BR,74.68,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
197,Slavonice,CZ,65.62,light rain,48.9975,15.3515,Design Hotel Besídka
198,Tuatapere,NZ,41.99,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
199,Bougouni,ML,75.65,light rain,11.417,-7.479,Non Stop
200,Guerrero Negro,MX,75.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
201,Iskateley,RU,68.4,overcast clouds,67.6803,53.1512,Hostel Agat
202,Bethel,US,85.77,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
203,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
205,Acajutla,SV,84.38,overcast clouds,13.5928,-89.8275,Laureles
206,Ryotsu,JP,73.42,light rain,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
207,Oyama,JP,77.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
208,Vao,NC,71.08,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
209,Flinders,AU,45.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
210,Epe,NG,74.86,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
211,Mogadishu,SO,76.77,light rain,2.0371,45.3438,Hotel Juba
212,Xining,CN,61.0,overcast clouds,36.6167,101.7667,Super Leisure Hotel
213,Nouadhibou,MR,69.78,scattered clouds,20.931,-17.0347,El Medina
214,Angoche,MZ,73.13,scattered clouds,-16.2325,39.9086,Guest House HESADA
217,Krasne,UA,63.61,overcast clouds,49.9145,24.6134,Feniks
219,Kvitok,RU,49.12,overcast clouds,56.0724,98.4813,Zaimka
220,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Central
221,Vestmannaeyjar,IS,50.88,few clouds,63.4427,-20.2734,Glamping & Camping
223,Vila,PT,74.28,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
224,Qaanaaq,GL,46.53,few clouds,77.484,-69.3632,Qaanaaq Hotel
225,Khuzdar,PK,71.65,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
227,Marquette,US,75.78,clear sky,46.5333,-87.6335,Al Quaal Lodge
228,Omboue,GA,71.01,clear sky,-1.5746,9.2618,Hotel Olako
229,Kindu,CD,75.83,overcast clouds,-2.95,25.95,Résidence Okanda
231,Buarcos,PT,71.94,overcast clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
232,Bhit Shah,PK,82.45,overcast clouds,25.8044,68.4927,Bhej bhittai rest house
233,Roccastrada,IT,74.88,clear sky,43.0099,11.1665,La Melosa Resort & Spa
234,Sao Gabriel Da Cachoeira,BR,78.31,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
235,Nelson Bay,AU,51.01,broken clouds,-32.7167,152.15,Mantra Nelson Bay
236,Karratha,AU,61.5,light rain,-20.7377,116.8463,ibis Styles Karratha
237,Nikel,RU,60.98,light rain,69.4128,30.222,Severnoe Siyanie
238,Morlaix,FR,62.22,clear sky,48.5833,-4.0,Titulipe
239,Tiksi,RU,52.39,overcast clouds,71.6872,128.8694,Arktika
240,Paita,PE,68.07,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
242,Kununurra,AU,53.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
243,Vazante,BR,69.84,scattered clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
244,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
245,Daru,PG,75.76,overcast clouds,-9.0763,143.2092,Daru Lodge
246,San Quintin,MX,72.61,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
247,Sanlucar La Mayor,ES,93.61,clear sky,37.3871,-6.2011,Exe Gran Hotel Solucar
248,Iqaluit,CA,49.73,broken clouds,63.7506,-68.5145,Frobisher Inn
249,Iwanai,JP,68.18,moderate rain,42.9744,140.5089,いわない高原ホテル
250,Olafsvik,IS,50.72,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
251,Portland,US,85.55,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
253,Rio Gallegos,AR,28.45,fog,-51.6226,-69.2181,Hotel Santa Cruz
255,Zhangye,CN,65.77,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
256,Roros,NO,42.64,overcast clouds,62.5747,11.3842,Erzscheidergården
257,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
258,Castro,BR,59.85,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
259,Caravelas,BR,70.93,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
260,Oyem,GA,67.8,overcast clouds,1.5995,11.5793,Commissariat de police
262,Havre-Saint-Pierre,CA,66.56,clear sky,50.2334,-63.5986,Auberge Niapiskau
